"","TCGA-A6-2672","TCGA-A6-3809","TCGA-A6-5661","TCGA-A6-5665","TCGA-A6-6653","TCGA-A6-6780","TCGA-AA-3492","TCGA-AA-3502","TCGA-AA-3655","TCGA-AA-3663","TCGA-AA-3664","TCGA-AA-3672","TCGA-AA-3680","TCGA-AA-3713","TCGA-AA-3715","TCGA-AA-3811","TCGA-AA-3818","TCGA-AA-3821","TCGA-AA-3845","TCGA-AA-3851","TCGA-AA-3854","TCGA-AA-3864","TCGA-AA-3877","TCGA-AA-3930","TCGA-AA-3939","TCGA-AA-3949","TCGA-AA-3950","TCGA-AA-3966","TCGA-AA-3977","TCGA-AA-A01P","TCGA-AA-A01R","TCGA-AA-A01V","TCGA-AA-A022","TCGA-AA-A024","TCGA-AA-A02O","TCGA-AA-A02R","TCGA-AA-A03F","TCGA-AD-5900","TCGA-AD-6889","TCGA-AD-6895","TCGA-AM-5821","TCGA-AU-6004","TCGA-AY-6197","TCGA-AY-6386","TCGA-AY-A54L","TCGA-AZ-4313","TCGA-AZ-4615","TCGA-AZ-4616","TCGA-AZ-5407","TCGA-AZ-6598","TCGA-AZ-6599","TCGA-AZ-6601","TCGA-AZ-6606","TCGA-CA-5255","TCGA-CA-5796","TCGA-CA-6718","TCGA-CK-4950","TCGA-CK-4951","TCGA-CK-4952","TCGA-CK-5913","TCGA-CK-5916","TCGA-CK-6746","TCGA-CK-6747","TCGA-CK-6751","TCGA-CM-4743","TCGA-CM-4746","TCGA-CM-5861","TCGA-CM-6171","TCGA-CM-6674","TCGA-CM-6675","TCGA-CM-6680","TCGA-D5-6530","TCGA-D5-6539","TCGA-D5-6540","TCGA-D5-6920","TCGA-D5-6927","TCGA-D5-6928","TCGA-D5-6930","TCGA-D5-6931","TCGA-DM-A1D4","TCGA-DM-A1D6","TCGA-DM-A1D9","TCGA-DM-A1DA","TCGA-DM-A1HA","TCGA-DM-A1HB","TCGA-DM-A280","TCGA-DM-A288","TCGA-DM-A28G","TCGA-DM-A28M","TCGA-F4-6570","TCGA-F4-6806","TCGA-F4-6856","TCGA-G4-6299","TCGA-G4-6304","TCGA-G4-6309","TCGA-G4-6320","TCGA-G4-6322","TCGA-G4-6323","TCGA-G4-6586","TCGA-G4-6588","TCGA-G4-6628","TCGA-QG-A5YX","TCGA-QG-A5Z2","TCGA-AF-6672","TCGA-AG-3591","TCGA-AG-3725","TCGA-AG-3732","TCGA-AG-3892","TCGA-AG-A002","TCGA-AG-A008","TCGA-AG-A015","TCGA-AG-A020","TCGA-AG-A02N","TCGA-AG-A02X","TCGA-AH-6544","TCGA-EI-6507","TCGA-EI-6510","TCGA-EI-6512","TCGA-EI-6882","TCGA-EI-6917","TCGA-F5-6814"
"RNF113A",21.1956703099278,21.5086578366854,20.0807160832459,0,0,0,0,0,0,12.0954628322128,13.3987346063505,14.7244317951078,13.1506298467137,12.4691898834016,0,0,0,0,0,0,0,12.8009016453376,0,13.3634757021481,0,0,0,12.66956595463,0,0,13.9930183958385,14.9929741540235,0,14.3698523603326,0,0,0,11.9784397144917,11.9623263452448,11.8497998010893,12.0287384995792,12.6483587935045,13.1914259539347,0,13.184309311809,0,12.6252088665384,0,12.1668267144201,0,11.9483984655796,11.5941469507134,0,12.0533727302634,0,12.4778636399677,11.3238664869272,12.6812055814113,11.6643333746865,13.1786411719154,11.9912129766444,0,0,0,0,0,0,0,12.0742642200642,12.5849838730919,0,0,0,11.8237714989898,0,12.0657405161009,0,0,11.7539987994597,11.5810086963085,12.0362981741855,0,11.2994548083072,11.5870937142122,12.6398975822815,0,12.1129191591671,11.7012584866379,0,0,12.3091951742485,12.4350072987359,0,0,0,12.1694000988,11.5835020078435,0,0,0,11.6257583775957,12.6231226376825,11.2782234313837,0,13.5076269611381,11.6830954694331,0,0,14.085901197042,0,0,0,15.0700303810748,0,0,11.6446727611083,11.6736008891583,11.7175977416321,0,13.0036463785068,11.3634845786502
"S100A13",19.7260046846695,18.6572921099601,18.9703390771758,11.8833560076484,12.07753265761,12.9912794563615,0,0,11.8745079940033,12.179713044397,0,14.8086976882239,0,0,14.7686499508386,13.9857338227713,12.7419472185424,0,13.0674514346068,0,0,0,0,13.4477368522893,0,0,0,0,0,0,14.0772822924551,13.0773657523355,13.0840133609185,0,0,0,0,0,13.0464042234194,14.5187017621836,0,12.7326149603509,11.6910145446092,11.8855311697248,11.6838992977175,0,0,0,0,12.1648851998955,12.0326466704697,0,12.727402143162,13.1374622927962,0,11.5623567490462,0,0,11.7485770721728,11.6782322740132,0,11.8820886767517,0,12.0374759761295,12.3790723614633,13.3909936153108,0,0,0,12.6692394673648,0,11.9548324618918,0,13.4927300418463,0,13.1498316097071,12.6487697301421,0,11.8382440166608,0,12.7054021047065,0,0,0,0,0,0,11.7855028214155,13.1794092418236,0,12.3934479620204,0,0,12.841210757883,13.1245555480205,0,11.6677442519898,0,11.8118046361045,0,11.7100013916596,11.7075942744781,12.9470565505969,13.0906917491307,12.007160019182,0,0,0,0,0,0,14.6860420744824,13.1544155989851,0,11.9815342379503,11.7289161125573,0,0,13.1461314019169,0,0
"AP3D1",11.5302169516652,12.988300348392,10.8375866772032,10.2424803921279,0,0,0,0,0,0,10.841971045028,12.1672760205706,0,10.4974800711853,17.5863521232941,11.9292922604057,11.1007086021297,11.3984035191524,0,0,11.0912161057071,0,0,14.2654275112844,0,13.692699650193,11.6811884673282,13.5714784570737,21.2126642511719,11.2496932223124,18.2810083173899,0,0,0,10.4102829783729,0,13.1930448531905,0,0,9.29429234689408,19.3164692714364,0,0,0,11.3642510987196,16.1433743141081,19.6748963583387,10.3344175043441,13.6092122029911,0,0,0,21.1891205587163,0,0,9.92168278041932,0,10.1248623832554,12.1067997692054,20.0304616734244,0,18.4273774845078,0,10.9811240512925,21.9903733378201,10.7500121783346,0,0,9.51848189930331,17.1201001386368,0,9.3150506657182,9.24638651775625,19.7588135335196,0,0,15.7348068781487,0,14.4816301439247,0,18.6497187958693,9.69829722125958,0,9.03196718039594,0,9.62478502401538,0,10.7292216215345,0,11.1614108233793,10.7523313142036,9.87886366918345,18.6216944586947,19.6255955913549,0,0,10.6115005851242,10.569475904303,20.9958700962112,13.7607078496686,13.0680536037033,9.0681679879837,0,13.4489702867232,14.9501324865681,0,0,19.8539626238855,20.2546213682544,0,0,15.1318052767284,19.1885317127621,0,0,0,0,0,14.6336269311307,19.8709221495756,18.007650047748
"ATP6V1G1",0,14.1267502574649,15.3132499679385,19.7929951526393,0,19.9697648263968,16.120016648563,13.9971167130388,0,0,12.5104936459726,17.6433858246586,12.2624102176308,0,17.4964222239708,0,0,0,0,0,11.7600322236105,0,12.9763243618354,18.0896991786188,18.8205403731535,18.5315810259265,0,19.7467757784375,12.9992583493859,0,0,13.6896469608522,18.1335964724272,18.3883243724104,0,18.18960123447,0,20.3494718458369,20.9669123512319,18.955410511602,20.7060934219722,0,0,20.3575421724146,19.455673013177,0,0,0,0,19.3768248862259,0,0,0,18.590947026535,20.8640824340463,20.3474803612875,18.9818461833363,18.8260573662277,0,10.7060323275182,19.1793219438097,0,0,19.1834526812367,0,20.3607513223861,19.5834640385031,0,0,19.097276408225,0,0,0,0,19.3252269176485,0,0,19.2634517370782,18.465143219983,0,11.1482358145847,0,0,19.0156853954978,0,0,0,0,0,10.8306347456764,0,0,20.2311647874944,19.153795275121,19.2810557159326,20.4656085610977,19.5955458131675,19.8150181222528,0,0,0,19.0060050594775,19.6654139243903,18.9316868746999,0,20.1628097038902,10.7911098737326,12.2495233411371,18.8268233080803,0,0,0,0,0,0,0,0,20.5803596361146,18.1391379685996,0,0
"UBQLN4",15.3563662769217,19.6220823098375,0,0,0,13.1761758574781,0,0,0,0,0,0,0,12.7383332077306,0,15.1706017235634,12.9268395984395,13.2246224956285,0,13.2507031278598,12.9173439868967,13.0700538656335,0,0,15.857087439282,13.9343231527832,0,12.9387148951168,0,0,0,0,0,0,0,0,0,12.2475654909189,13.2313014236083,0,12.2978663612161,11.9176936374011,12.8756878218614,13.0702352813772,15.3278451431369,0,14.4791927986099,0,0,0,0,0,11.9124814028246,12.3225015869277,0,0,0,0,0,13.4478013194681,0,0,0,12.2223524055796,0,0,0,12.0231143320191,0,11.8543253723864,12.9286475641227,0,0,0,13.3570595706782,0,0,0,12.0231143320191,14.657135098235,12.8902938346114,0,0,0,0,12.4498172025645,12.3820503520086,0,0,12.9875612625857,0,0,0,13.0261048224029,14.3093827724145,0,11.8526086209171,13.9801807837332,12.9964975472573,0,11.8948673005097,11.8924600968144,0,14.2755168242651,13.1918814020602,11.9522074202821,11.948201871442,0,15.6769604958914,0,0,0,13.3393142790602,13.727886453143,0,0,13.5274305015122,11.9867114573726,0,0,0
"TPPP3",12.7674719115667,0,0,0,0,11.5874219879202,16.8584079132105,17.8385275066234,0,0,13.0788874988126,18.211857907685,18.1525239678062,13.1492139758536,17.8238869180125,20.322963793021,17.1955780228532,15.4427921841349,18.6855054107562,19.3894107582472,16.4155699266576,16.4808349681278,16.9369486259106,18.3288651412431,18.828714286992,18.1525239678062,16.8251880029337,19.0218922841178,18.2680008043593,19.7720403506232,18.695420856182,17.065377586659,18.2032647568869,16.7503567544451,17.816689597335,16.2106020153253,19.0933942907561,11.6586481925495,11.6425358200087,0,12.7087284437898,11.3288147692037,0,11.4815052605674,0,15.4267267345009,15.764557763547,0,12.8468285059732,0,0,11.2743825142034,0,0,12.0427290819513,11.1583617898967,13.003598996958,16.5310458745201,0,0,11.6714206724759,0,11.1259675430639,0,0,0,0,0,0,0,13.3395347999086,0,12.481797319932,0,13.5049448684038,13.7456287172396,13.5664428983012,13.3891148104152,13.4338311481455,0,0,0,0,0,11.3203555355579,0,0,0,0,11.3988511080678,0,0,13.0097359990093,0,0,0,13.2632983011926,12.8062635432828,0,0,0,11.3035845460876,13.2798353236096,12.6865960338083,0,0,13.9438238850198,19.4901287109353,0,0,17.4736510841017,13.2819830099125,16.9980467080765,18.4606453109927,0,12.3246231153119,0,0,14.0638354055956,0,11.0437402229996
"TSSC4",0,0,22.3748158411375,0,11.0778664102389,0,0,0,18.0340004247213,0,0,0,0,0,0,0,10.7425788916646,0,0,14.2356371754969,17.4464933590205,0,0,0,0,0,0,12.3388544323707,14.5567280644521,0,0,0,12.6690312431087,0,15.510370058109,0,0,16.1067656263318,0,0,0,0,0,0,0,0,0,11.975343108319,14.5727691370043,0,0,16.0702875349812,0,15.9446799756495,10.447569753812,10.5628337140826,0,0,0,15.7001868920965,0,0,0,18.2120631800756,10.3798846333663,0,11.5678763769438,0,11.158829691855,14.3129450363161,18.8310107320392,0,0,17.2114326324868,13.7570710576535,0,0,0,9.83942556473275,0,0,0,0,0,0,16.7882162938523,0,17.7963276756575,0,9.80408061304307,18.2573705377624,0,0,16.6990086994221,14.4463867135164,0,0,0,16.5927775924056,0,0,0,11.9472392321373,19.015341585619,18.3861920778762,16.1419849563617,19.7301469307561,17.0547512041769,0,17.3444436387398,15.6021869017561,17.6972213862318,18.8053121963837,18.3630456415675,15.4730622517657,9.73019063761218,16.7347212486931,14.4453590769577,18.1059792932637,15.360792399718,17.2545699887653
"FOS",16.4897466879025,21.2749772673874,0,13.0315382285143,0,13.1396539780018,13.241160801083,14.5331422309011,12.022862277079,0,14.6313186215209,0,0,0,0,17.941397383418,12.8903184729536,13.188100484175,14.2157510248384,0,0,13.0335322912179,0,0,0,17.8046020147463,0,13.90209949587,15.7050870465138,14.0392632369497,13.2257412771418,0,15.5541971231997,0,0,13.0628529086386,0,0,13.1947793943035,0,12.2613478317184,0,14.160976830264,12.0338857386675,13.416946984891,15.564227280594,12.8578356128082,12.1236999267703,12.3994407405436,13.3131045845491,0,0,12.8757731889812,0,12.5951613012976,11.7107019598324,0,12.9138336224901,0,12.8263824655074,12.2238209536188,13.0302707133831,13.6779729601612,12.1858342708572,12.527437728664,15.5392814428217,0,13.5713228197402,12.3068751496525,0,0,0,0,0,12.7356452298502,0,14.1189460814906,0,0,11.8135993149549,11.2692000700204,11.4871391831697,0,0,11.8727170396164,0,12.3455314060971,11.9338547144724,12.7428935369788,0,12.5418135916952,0,0,12.9895833810459,12.2730773456717,12.4020142082085,0,12.3588778085077,12.9599761978491,0,0,0,13.095430533158,0,13.1553594793137,12.9155041590973,0,0,14.3185495972661,0,0,0,0,14.6913087728309,0,0,11.9061958679623,11.9501946961828,12.2946512705656,12.651393222138,12.5958307503912
"ERBB3",17.7088550340966,18.1159002132403,19.7853059710871,0,0,0,0,13.4628198367963,11.9524902832243,12.2576991895719,0,0,15.312778063317,11.6316615971444,16.1685484580137,13.0638159016872,13.8198388821765,0,0,0,0,0,14.61179152332,0,13.4283507095151,14.8273654145377,0,0,14.0497932812373,14.5538107022518,0,13.1553594793137,14.1619284241704,0,0,12.9924720108462,0,0,0,0,12.1909731967705,11.8108071177427,0,0,0,16.4938238087429,15.1092208366186,12.0533267627279,0,0,0,11.7563687354563,11.8055949869813,0,0,0,11.4860780426583,15.8432818734686,0,11.7562116160016,12.1534467058721,11.960071071955,0,0,0,15.0538667339869,13.6455161737392,0,12.2365000582809,13.332122876331,11.8219458512157,0,0,11.9860005886348,12.6652664782087,12.2279761434152,0,12.2864583399705,11.916225791108,11.7432300268834,12.198533063347,0,0,11.74931525565,11.8023469469714,12.3429218349073,0,0,0,0,0,0,0,12.9192029224467,12.2027025917529,0,0,12.2885022131141,0,0,13.3726717268804,0,0,0,12.0851440849237,12.8451241678119,11.8413147515819,0,16.2481081941123,16.0474193523531,0,14.3490214900966,0,14.6209221715289,12.0595179731083,11.8068962544167,11.8358253340855,11.8798235977929,0,12.5810151065267,12.5254530750209
"CHRAC1",16.0567927676057,12.2300634326896,11.7792886090449,0,0,0,0,0,18.6941583003688,0,13.3683637995109,0,11.535621086707,0,0,0,0,12.9250969945358,0,0,15.5562265961115,11.1859826820835,0,14.0700146383358,14.9725852232684,0,0,0,15.4420580420201,12.1914891097819,12.3778648468683,14.5475790082186,0,13.3395497517029,0,0,0,10.3638412442379,0,0,0,11.0334863502831,10.9916817568263,0,10.98456785598,14.4532305086576,11.010343922891,11.2759616200611,12.1364597410627,0,13.3328370567594,0,0,0,10.7477704822106,11.4477536373204,11.2935048122167,13.3877124641422,0,0,11.9608468674199,10.1833426229807,0,16.1449025121189,0,0,0,0,0,9.97085124778134,11.6293576988763,10.2560441806535,0,0,0,0,0,0,10.1395244615916,0,0,14.7261556864898,10.6844230945625,12.2935040606787,0,0,10.4982550496118,16.9558650840929,0,10.1041721668861,10.6944455989509,0,0,11.1420476054174,10.4258380905101,0,12.2899119016145,11.5111006062353,11.1124499818238,0,0,0,11.9845904200941,11.3914584292813,13.7667395633211,16.1548031231278,12.3855116938765,19.404890654037,11.4709904016707,12.2700825877227,15.4620122032294,15.8443877918919,16.7765932346052,12.8434536420202,18.0694801735659,0,10.0591759258113,11.102489433978,12.7685020533795,10.8039792387278,12.7478105385095
