CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CASE_6	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	width
TSPAN6	9832	25521	23529	0	32	0	10558	20573	6507	0	0	0	12883
TNMD	3281	7167	3435	0	0	0	202	403	203	0	0	21	15084
DPM1	45889	68219	72983	0	49	50	25594	59819	48620	23	84	0	23689
SCYL3	13066	26625	33601	0	28	83	11203	30456	14826	29	0	32	44637
C1ORF112	6897	12193	13379	0	0	22	3546	11438	4408	0	50	0	192074
FGR	19886	45396	12268	0	0	23	8092	8013	10045	0	0	0	23214
CFH	204121	358539	129886	0	28	472	45387	121001	62999	53	0	0	95627
FUCA2	41411	86157	90783	0	0	0	42875	89712	51755	0	0	0	16880
GCLC	72443	91073	78975	0	48	43	26972	75345	40443	0	31	23	119630
NFYA	25158	43579	43918	22	42	55	18776	45705	18328	0	0	75	27032
STPG1	7835	11519	10850	0	0	20	6714	12024	5854	0	0	23	59936
NIPAL3	72420	126150	101249	55	29	148	60093	112657	54403	0	0	87	57183
LAS1L	46418	96262	72210	3103	3000	1318	29708	83506	34197	2870	2570	2914	22194
ENPP4	47207	81530	87763	0	0	92	49760	88885	50414	25	40	0	16707
SEMA3F	36049	53556	27364	0	0	138	30514	40452	24787	0	24	27	34031
CFTR	64	296	404	0	0	0	490	5401	1222	0	49	0	250188
ANKIB1	69848	79627	82440	0	0	123	38025	84903	46267	25	0	24	155151
CYP51A1	35702	40912	49578	0	0	48	23362	39935	32696	0	45	21	30802
KRIT1	53719	101634	84163	0	25	94	34537	83545	48547	0	0	22	47198
RAD52	16984	43266	28014	54	0	28	10631	24061	14667	0	0	45	77977
BAD	26815	47433	39985	49	0	23	21711	51772	25713	21	22	64	14875
LAP3	96461	175446	186981	87	0	108	67000	166058	87743	0	0	75	30781
CD99	228169	309462	283542	37	30	119	178935	228052	200851	42	50	36	50131
HS3ST1	5451	20985	3030	64	0	21	2220	2372	2287	65	0	0	36616
AOC1	202	202	1147	0	0	0	735	2286	290	0	0	0	36878
WNT16	0	845	0	0	0	0	0	0	0	0	0	0	15738
HECW1	0	202	808	0	0	0	202	303	0	0	0	0	453403
MAD1L1	14765	32287	27839	0	0	27	9656	30023	11101	21	25	0	417451
LASP1	126326	213381	121012	24	22	333	66178	124483	59278	67	29	0	51912
SNX11	18494	26331	21329	45	0	0	8875	22399	16804	0	48	0	19718
TMEM176A	17986	25645	23979	0	0	35	8828	20381	8667	33	35	28	4718
M6PR	148785	231907	190108	0	0	148	90363	224975	101467	0	23	77	9593
KLHL13	11082	17607	38102	0	0	0	14711	21987	9265	0	0	0	219528
CYP26B1	13453	7129	5848	0	0	58	4250	6893	2259	0	0	0	18801
ICA1	79874	112227	71961	0	24	0	44959	93653	42532	46	0	0	149504
DBNDD1	6622	8267	5633	0	0	0	7143	5189	5458	0	0	0	15264
ALS2	93385	153157	150266	26	0	130	91172	206795	86512	0	27	26	80636
CASP10	16111	33529	48431	21	21	61	15709	35824	12762	22	78	29	46526
CFLAR	766475	1516074	1392131	227	150	202	606006	1509050	586394	154	208	262	60584
TFPI	61135	138564	62489	23	0	116	39173	77717	42554	57	45	0	101531
NDUFAF7	35303	76086	65084	0	0	24	28235	71757	36120	0	22	0	21773
RBM5	177460	367799	273469	108	0	103	138482	301350	140182	0	33	83	30114
MTMR7	2305	3754	2740	0	0	0	1740	3141	1243	0	0	0	115499
SLC7A2	137212	221874	159349	21	0	58	102344	97117	77662	46	72	55	73486
ARF5	90178	139150	102813	25	0	65	49334	124915	63871	28	0	20	3361
SARM1	37173	57785	65330	46	0	178	28506	64575	21864	21	3	38	39694
POLDIP2	257658	393859	357192	39	21	61	173809	399897	231412	0	45	23	10346
PLXND1	208825	270964	271832	92	136	1932	110332	240796	113733	136	157	314	51644
AK2	77128	133072	118551	87	0	75	62958	141323	70093	0	48	0	73057
CD38	19396	35158	21401	0	0	0	11873	37011	27955	22	23	0	74956
FKBP4	93239	160964	120274	0	0	43	62527	144179	57664	0	20	0	10471
KDM1A	63392	123362	116894	0	0	78	47724	109410	60581	0	23	62	64242
RBM6	257685	503371	405010	23	23	100	164892	326985	172301	0	73	42	160039
CAMKK1	13483	18260	13667	0	0	0	6354	14706	3112	0	0	0	34577
RECQL	79816	133439	133959	59	40	55	46139	86292	50319	0	0	75	32759
VPS50	25553	58423	57918	0	0	0	22682	56083	27244	0	0	33	128782
HSPB6	3429204	3752933	2108606	279	344	1448	884271	2202078	1484635	0	30	289	3511
