source_name	group
CASE_1	lung carcinoma cells_overexpression_EHF	CASE
CASE_2	lung carcinoma cells_overexpression_EHF	CASE
CASE_3	lung carcinoma cells_overexpression_EHF	CASE
CASE_4	lung carcinoma cells_overexpression_EHF	CASE
CASE_5	lung carcinoma cells_overexpression_EHF	CASE
CTRL_1	lung carcinoma cells_overexpression_control empty vector	CTRL
CTRL_2	lung carcinoma cells_overexpression_control empty vector	CTRL
CTRL_3	lung carcinoma cells_overexpression_control empty vector	CTRL
CTRL_4	lung carcinoma cells_overexpression_control empty vector	CTRL
CTRL_5	lung carcinoma cells_overexpression_control empty vector	CTRL
