CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	width
TSPAN6	76107	55417	57042	58051	89554	174039	167256	95780	100359	80275	12883
TNMD	0	0	0	0	0	0	0	0	0	0	15084
DPM1	79837	51404	49387	55471	55195	87152	88978	51982	54594	45367	23689
SCYL3	29599	23686	22927	21820	28214	41692	41690	24143	22616	20340	44637
C1ORF112	21379	19968	20830	17017	12882	21405	20253	11225	11993	9228	192074
FGR	0	2	0	0	0	96	47	0	0	47	23214
CFH	587524	432548	450930	449759	200254	380067	397134	201400	203167	166136	95627
FUCA2	162775	118626	117751	117757	222277	291506	302212	171730	177448	153143	16880
GCLC	518373	327501	335049	340985	802943	1021182	1034656	593123	603708	450902	119630
NFYA	54563	42653	43614	40630	46942	68536	65781	44507	38693	30075	27032
STPG1	19046	10573	15611	16260	24325	35622	28456	18444	19266	15782	59936
NIPAL3	68637	58436	63208	61023	52156	100235	97780	54259	55294	39507	57183
LAS1L	139735	110144	110265	108283	109017	139370	142917	78850	82986	69176	22194
ENPP4	4834	3347	3866	2856	6751	11235	10446	6263	7232	4453	16707
SEMA3F	12166	7109	7572	7783	32395	4833	6456	2457	2880	2968	34031
CFTR	480	384	1190	576	2639	2518	1940	841	550	767	250188
ANKIB1	145570	107466	105432	97445	189102	265745	257338	150246	151137	99291	155151
CYP51A1	299371	182829	186493	196155	428401	527835	542507	303662	316774	245290	30802
KRIT1	69466	49264	51494	52469	77992	120325	120296	67018	68659	48250	47198
RAD52	41489	33315	35121	27178	42067	48589	52977	29005	27788	23335	77977
BAD	54595	36585	37820	34937	57727	56562	52624	29889	29866	32982	14875
LAP3	63786	43851	48083	45243	50203	70617	70083	44180	44885	35255	30781
CD99	334982	224033	232603	232154	515146	295052	286872	153448	163131	158983	50131
HS3ST1	13931	10647	10454	11340	17381	12961	11070	6888	6861	7202	36616
AOC1	0	0	0	96	48	0	48	0	20	0	36878
WNT16	0	109	144	96	119	144	192	0	0	0	15738
HECW1	15514	16239	14958	12882	31730	46855	45776	21882	25106	18570	453403
MAD1L1	29800	25463	26386	24534	29225	23666	27167	15482	14089	16679	417451
LASP1	1030168	771219	773307	734787	1606194	1580868	1558134	873000	892395	712466	51912
SNX11	52105	39364	35349	35943	57697	81670	88194	50337	48585	40251	19718
TMEM176A	0	96	0	35	480	0	192	0	96	0	4718
M6PR	416303	309415	310982	313622	778198	898031	905842	513928	521122	381849	9593
KLHL13	816	572	763	714	298	864	669	864	374	816	219528
CYP26B1	13862	13544	12451	8491	16197	21873	21906	11622	10505	8530	18801
ICA1	12299	7635	7153	7624	27113	37380	38515	18471	21087	19526	149504
DBNDD1	44137	33202	33168	30406	70618	88119	88223	46239	44989	47016	15264
ALS2	66610	54684	53952	47257	88596	137136	132660	81805	78180	52560	80636
CASP10	14935	12446	13059	12144	19725	21508	20621	11288	13146	10273	46526
CFLAR	98261	74268	77154	75909	139478	184994	184985	106836	100127	81224	60584
TFPI	259011	189858	185183	196746	473878	632389	647745	373891	387005	278879	101531
NDUFAF7	34379	27690	24193	29397	35606	54871	57629	29388	29157	22884	21773
RBM5	104001	73974	77773	75115	116357	180025	180817	96372	100259	77925	30114
MTMR7	3483	3534	2215	3906	3285	5411	5614	2933	3541	2222	115499
SLC7A2	139424	116884	110174	112535	223354	1303111	1332076	693104	710420	441445	73486
ARF5	145933	96190	101544	98258	144284	195056	197027	109593	114736	111341	3361
SARM1	179766	135533	140762	125107	140305	223154	223350	127054	129698	95806	39694
POLDIP2	360601	255559	249283	242570	320089	508562	500036	265083	290383	241740	10346
PLXND1	214918	209709	212787	177386	150948	389009	388191	208929	223792	180390	51644
AK2	170606	111056	114252	115540	170835	208886	201431	110818	113454	101337	73057
CD38	15611	10887	10716	10087	16908	36287	33770	20638	22143	16100	74956
FKBP4	298271	263105	270898	259991	438412	448503	450909	257774	269075	213363	10471
KDM1A	113033	82355	85844	83586	107489	128881	124945	74803	73716	57844	64242
RBM6	91431	67585	67115	64693	90831	135986	133446	73538	78531	58070	160039
CAMKK1	16212	17234	13663	12708	75790	78961	78085	41614	45625	40537	34577
RECQL	163347	125603	124288	124197	108437	130816	141042	75406	81612	61136	32759
VPS50	45707	33348	33231	35709	49271	79212	80540	45152	45265	34690	128782
HSPB6	397	576	576	425	672	2052	1031	973	1583	1037	3511
ARHGAP33	8167	8539	7451	6370	3275	3355	3399	1390	1564	1899	14291
NDUFAB1	126670	89549	83654	87450	86885	130895	131018	69933	71581	68556	15355
PDK4	298677	280422	278984	288085	45310	79244	82940	38315	42097	30942	12993
SLC22A16	65	91	122	52	65	130	65	117	104	39	51955
ZMYND10	190	403	191	384	240	429	862	192	288	0	5743
ABCB5	96	0	192	96	4	264	0	107	143	144	161832
ARX	20019	14398	16184	17725	8884	20552	19586	9761	11664	11290	12727
SLC25A13	96406	74993	77221	71594	144330	174481	173896	99086	99631	85495	201928
ST7	73336	45700	50545	49942	74919	113208	108350	60354	60891	51529	276866
CDC27	195114	142351	152705	150692	196804	271647	282147	154178	161478	121109	71720
SLC4A1	0	0	0	0	88	0	76	0	49	39	19757
CALCR	1726	670	860	383	4174	2976	3021	1243	1343	1295	150244
HCCS	76917	49138	52804	54182	82676	105865	105715	58857	64923	54545	11778
DVL2	87294	63746	65016	63070	133958	164045	151414	88111	93949	72181	9205
PRSS22	1421	718	500	1068	1153	2357	2439	1028	1498	998	5444
UPF1	156747	126968	132383	118338	150266	201638	204298	116325	118504	96810	36299
SKAP2	111062	77263	75923	77587	101418	157165	155891	92231	97639	72134	328178
SLC25A5	870945	661473	674237	649099	744384	1025934	1052492	595913	608853	530834	2920
MCUB	28569	19071	21080	23863	27675	28500	27928	17650	20758	14705	128522
HOXA11	1725	1535	1440	1168	2093	4755	2514	2887	2349	2670	3714
POLR2J	53224	41522	36363	41654	54068	72153	71881	39062	38679	40335	5790
DHX33	119273	96009	98631	89423	129982	199592	199607	117174	110535	84521	28149
MEOX1	0	0	0	0	39	0	0	0	0	0	21567
THSD7A	161677	137563	148155	117746	85825	214263	218779	120826	111695	74966	461842
LIG3	151999	110099	105929	103773	128345	194676	185403	106636	113478	78432	29250
RPAP3	91568	66370	70044	71217	95406	92539	98528	57109	54375	42889	44813
ACSM3	27717	22672	17879	21630	29934	42901	46160	20456	24375	21231	187339
REXO5	7525	5819	7022	6165	1901	4821	3541	2698	1865	1738	43240
CIAPIN1	110511	81919	80298	76427	107364	152253	156399	84807	87926	74818	19360
SPPL2B	78528	63206	69518	57234	72895	111374	103688	55349	58749	58673	26192
FAM214B	75423	57018	58319	55458	49521	77188	72203	36736	40301	32404	12230
COPZ2	12743	8177	8351	7094	25020	28878	24870	11308	13855	12875	11864
PRKAR2B	22355	20713	19642	21995	27409	33049	37740	22291	22967	16454	117163
MSL3	40977	30956	30390	28956	45392	57313	58598	33167	34670	26394	17595
CREBBP	227035	190154	200506	172648	299260	330084	341837	189583	195310	145378	155673
TSPOAP1	21	0	0	0	96	0	120	59	31	134	27533
MPO	0	0	0	0	15	0	0	26	0	96	11080
PON1	2742	2746	2769	2394	1797	7116	7482	4580	5056	2996	27032
GCFC2	31619	22372	22050	25278	27074	43828	45831	26678	26270	21463	58990
WDR54	55163	38610	37134	38371	44693	75038	73910	37734	35066	37239	4078
CROT	23804	18505	18302	17079	18481	42954	46923	22976	25103	21243	54115
ABCB4	1623	672	719	865	1151	1343	1775	717	849	816	78739
KMT2E	135499	108900	109875	95599	157990	229004	230488	125471	123441	76944	100183
RHBDD2	130240	99026	100160	95750	106775	173923	174550	89773	97008	99393	46325
SOX8	1152	1930	1344	1217	2531	2175	2010	1056	1484	1052	5172
IBTK	585677	351668	343931	370285	375738	556316	559947	320165	311239	227881	77772
ZNF195	43862	34884	37001	35917	49003	73803	74471	41443	42178	30985	39962
MYCBP2	133368	113983	115515	97477	132851	202366	203611	113867	110935	66744	282396
FBXL3	71544	53305	53612	52884	87374	116562	120411	73017	76072	52634	34598
ITGAL	864	819	915	445	2401	1850	2778	768	1489	1104	50528
PDK2	42009	31510	35940	29388	25917	52673	56523	31901	31190	29671	17416
ITGA3	918727	735107	717392	706893	1572480	2010496	2025701	1051061	1060536	916164	34514
ZFX	71966	56829	55191	49340	57133	85417	87767	49635	59806	37525	67083
LAMP2	313002	224042	225376	237292	444062	636924	630142	361507	363484	273571	41539
ITGA2B	576	397	624	96	479	557	1169	217	221	240	17326
ASB4	10108	10354	11048	11033	1403	7565	8583	4032	4969	3242	61789
GDE1	214106	140738	150688	142114	248518	340296	351037	199858	203352	156371	20457
REX1BD	37252	27099	30048	23798	34717	56717	55886	28774	27243	34404	3652
CRLF1	6692	4924	3691	4220	8355	14156	13753	6735	7337	6799	35522
OSBPL7	28479	22946	23016	22875	36404	48145	47299	25560	29550	25087	14463
TMEM98	39140	32608	31137	28916	31223	8882	9043	4838	6128	4107	17197
YBX2	192	713	257	192	237	192	384	116	256	192	6364
KRT33A	0	0	0	0	48	48	0	0	74	0	4721
MAP3K14	56585	40328	41115	40955	104673	122353	120962	65714	66189	59405	53920
ABCC8	2006	1540	1952	2132	5324	9336	9213	7179	7030	5505	83961
CACNG3	0	0	0	0	0	0	0	0	0	0	107249
TMEM132A	136053	111755	104432	105009	222120	243840	225233	126993	123819	129576	12697
AP2B1	872866	636445	647910	591913	964779	1357045	1375163	770486	804473	583402	148364
TAC1	90	0	0	0	146	96	96	0	0	0	8565
ZNF263	111939	75484	73866	76168	150854	169288	175940	94375	95956	88422	37602
CX3CL1	762	404	96	804	225124	10462	11026	6103	7195	6210	12591
SPATA20	204071	169103	158964	151374	274107	287498	292023	159596	165279	155640	12795
CACNA1G	22863	24446	27133	21337	23224	22041	23482	9804	9265	7726	66407
TNFRSF12A	96970	48412	53460	54054	205681	152603	152955	93171	88790	83411	3939
DLX6	0	137	0	81	22	165	96	0	40	0	5492
MAP3K9	94713	70424	66181	62398	142870	188979	183102	94796	99056	67894	87009
RALA	72505	48059	46367	57190	73742	94763	100663	55122	56680	53617	84642
BAIAP2L1	219701	143261	145103	150411	215501	266851	269274	149577	146840	132825	109418
KDM7A	34328	24632	22274	20921	43553	71004	71228	34706	40384	25196	92290
ETV1	21634	18152	18861	15709	24731	30448	29893	15160	14477	12283	100198
AGK	70305	56163	53423	51646	66844	97588	100078	51115	56495	43039	104056
ALDH3B1	481955	372381	372768	363515	509843	732602	707415	382355	370980	356920	20705
TTC22	576	48	0	192	43	180	48	0	0	0	21556
PHTF2	41412	29260	29127	31957	41493	50956	52751	30357	30199	23319	158712
CCL26	0	83	96	629	0	288	144	384	264	288	20364
FARP2	62075	50427	43499	40677	53341	94796	88100	50361	52012	36823	138599
USH1C	16849	14903	12129	9558	3011	12854	11869	10192	8103	7126	50522
GGCT	56357	40205	37990	47457	41500	61956	63646	35773	32812	31563	8224
DBF4	30617	24620	25672	26640	28565	35598	33989	21250	22618	18415	33326
TBXA2R	103	207	192	192	349	102	75	116	98	98	12335
IFRD1	247359	151112	146454	165695	338728	431627	436781	247712	251468	200818	58050
LGALS14	0	0	0	0	0	0	0	0	0	0	5139
COX10	42193	35136	36384	32647	71910	95168	90324	58037	52990	45569	139182
GTF2IRD1	50889	36044	34775	33444	61966	72120	77279	43174	41644	39463	148815
PAF1	179269	124806	123227	129488	153553	215104	207230	112019	122634	109850	5344
VPS41	120596	85190	89568	89701	190681	247281	250619	151834	151273	112452	209432
ARHGAP44	7190	7131	5988	6605	3698	4406	2944	2424	1613	1539	202105
ELAC2	163040	133358	131318	115903	166837	255214	245814	138950	140046	126334	25797
SCIN	4474	3262	2605	2685	5785	4346	4585	1836	2045	1165	89603
ARSD	84381	58777	62575	65494	124773	193383	193732	101482	108670	88699	25382
PNPLA4	35081	24429	25353	25560	31402	60280	56302	35075	34803	31683	29493
MYH13	48	48	0	47	45	96	142	74	30	48	72266
ADIPOR2	257194	186982	190778	187035	333868	442203	421504	243128	245076	172619	100105
CDKL3	3376	2151	2071	2252	10983	10312	12700	6284	6817	5875	84698
UPP2	0	53	0	77	73	113	65	48	0	34	259453
PRSS21	192	96	0	0	0	0	0	0	96	0	9125
MARK4	29542	22194	21667	22268	45920	54426	52924	29829	31067	31301	225996
PROM1	308	439	96	757	1418	2739	2872	1242	1117	1440	121303
CCDC124	85372	64916	62739	64531	68058	104097	102850	57181	59190	65841	10976
CEACAM21	59	73	84	74	72	0	39	69	108	48	37327
PAFAH1B1	366828	257974	264648	253864	403750	529707	531500	312845	308164	238264	92406
NOS2	0	192	100	192	192	577	96	96	124	285	43734
DNAH9	192	96	144	95	288	0	206	164	208	288	371318
KIAA0100	578607	504552	506457	426029	576159	1167467	1175815	628302	635472	474918	31015
SLC13A2	5697	3823	3742	3734	528	96	288	240	384	192	24489
GAS7	768	192	336	288	1535	2358	1488	479	240	658	287943
TRAPPC6A	42433	28104	27234	30394	94092	136231	131194	71914	75057	71712	15310
MATK	61	209	96	0	346	529	454	0	96	0	24160
CEACAM7	2319	1240	1776	2541	192	1340	1046	574	432	384	33670
CD79B	0	0	0	0	0	96	96	0	21	0	3615
SCN4A	288	48	0	288	1747	1866	1475	775	862	1051	34365
ST7L	19410	14652	15002	13659	25700	28878	30177	17297	17220	14313	97308
TKTL1	0	0	0	0	0	0	0	96	20	48	34680
PAX6	3903	3114	3073	3593	7574	5967	5233	3395	3162	2167	33284
RPUSD1	43282	34594	34266	26994	69036	68302	66033	36532	35318	43803	3424
RHBDF1	38702	26073	29224	26019	47724	55117	51050	27546	27509	25574	18297
LUC7L	61514	46898	48416	50261	54762	80664	75645	42820	45195	39092	40495
CACNA2D2	1252	811	1419	758	1838	2889	2727	1918	1980	852	141446
BAIAP3	11703	7296	7489	6634	13453	11856	15455	8120	9541	8516	15841
TSR3	78107	55747	55419	52370	98645	100469	106339	58420	66209	70335	2672
PIGQ	65663	61264	58186	52187	74714	98416	97756	49189	56219	56219	17142
CRAMP1	67134	50515	56274	43881	80981	111354	116996	59267	63433	47075	65584
TEAD3	9299	5968	7553	7232	26425	27703	25167	13392	15733	12663	23480
SELE	0	0	0	0	0	0	0	0	0	0	42065
DNAJC11	114904	93191	86942	80755	110409	154700	152212	84050	84749	75491	67757
FMO3	78	0	0	0	28	0	0	0	0	0	26943
MYLIP	27440	21676	20605	18056	20876	40931	40655	22388	26428	19314	19124
NOX1	17692	9410	9996	11499	974	1583	2344	1420	1062	1310	31022
E2F2	10391	12691	12228	9877	888	2208	2139	908	385	1417	24791
PSMB1	156385	111228	111592	108913	147906	204972	201806	120126	117132	109084	18225
SYN1	348	160	112	400	159	291	143	30	152	98	48046
JARID2	38102	34843	28940	29213	40359	50750	52660	31424	31585	22928	275745
CDKL5	81868	56388	57553	49928	84766	84422	86422	47788	48170	32086	228047
CAMK1G	0	0	0	0	95	0	0	44	116	0	30222
CDK11A	57333	42261	40026	38525	51593	74568	74081	43731	43003	41373	21595
NADK	92839	72794	67166	69403	117424	173021	168655	89928	98258	86930	29226
TFAP2B	0	0	0	35	0	0	0	43	55	0	28891
TFAP2D	0	0	0	0	0	0	23	0	0	0	59161
DLEC1	15442	11737	11968	10317	13867	17844	21670	10261	10317	11456	84821
CYTH3	62439	37590	37595	38022	139438	127996	130393	79552	78059	55770	110869
ADAM22	2298	2677	2759	1463	2060	5800	4198	3939	3560	1636	268747
SYPL1	193042	143891	143810	151763	273373	341360	354790	208674	212079	164447	22074
CYB561	176385	99391	106774	108824	134184	175643	176516	88821	96186	89710	14075
SPAG9	390568	300400	306950	268943	574151	676106	682293	391959	400693	271902	158692
CELSR3	54418	39848	44485	36152	53421	106099	103228	57252	60536	43665	26447
AASS	1761	275	703	768	523	526	769	192	384	479	68634
PLEKHG6	5538	6012	6486	5408	5432	5255	6045	3786	4740	3321	18071
SS18L2	20080	14432	13135	13079	13189	20235	20067	14685	11384	10629	13275
MPND	11337	11214	11444	11000	14340	13659	15217	9432	7996	8920	16560
MGST1	1018433	693835	706268	825051	1093289	1765439	1800436	1057198	1053720	901619	262118
CRY1	71134	43934	44958	47178	66743	66948	66644	40197	39845	32237	102466
PGLYRP1	354	532	678	356	338	598	260	615	217	82	3913
NFIX	13202	11494	11782	9714	32522	40355	41292	21693	21889	18813	103189
ST3GAL1	36402	31474	31235	28534	104999	164018	158888	87118	89542	65684	117093
MMP25	2733	2291	1533	1572	5110	4867	4892	2263	2462	2581	14046
IL32	2520	2530	1583	2112	57713	25406	28475	15983	14715	12912	16896
PKD1	156006	152617	148498	132027	253519	296601	293386	152731	161139	130261	47189
MAPK8IP2	8943	6502	6568	6659	15286	22586	24274	13811	13741	11979	13297
MED24	117861	102310	102087	87784	121793	195261	186799	102402	104126	90665	42119
RHOBTB2	148348	120439	118011	112066	106152	172160	169322	92645	98288	83700	32783
HEATR5B	91414	71663	70891	65514	83656	143587	143332	78601	78512	49894	115960
SEC62	289521	181426	181911	205372	276270	418411	419964	247247	233433	181098	31739
RPS20	467209	316752	315807	344991	828223	1109490	1106341	615486	626396	659442	7287
CSDE1	574321	415227	421161	418534	624698	901320	897968	520269	526877	405396	41764
UBE3C	241337	183052	185390	170764	256993	350757	342877	194325	190793	150636	130460
REV3L	55944	45628	46048	40283	57992	89341	85350	48828	50503	37631	184688
TENM1	192	288	480	0	321	519	672	286	288	96	587915
PAX7	34521	30102	30105	29234	26388	72530	73732	39619	41765	31541	117861
MASP2	1636	1099	855	898	2015	3483	2996	1728	1729	2043	20711
IYD	192	96	34	96	621	1145	96	303	595	48	37078
