seqnames	start	end	width	strand	component	qvalue	enrichment
chr21	43939251	43939500	250	*	1	4.69879559721486e-140	1.37891166674081
chr21	43646751	43647000	250	*	1	2.52005132701817e-137	1.42361118100234
chr21	43810751	43811000	250	*	1	1.86403600024493e-121	1.30519117203952
chr21	43939001	43939250	250	*	1	2.10821177634974e-121	1.1982028303047
chr21	37712251	37712500	250	*	1	6.3570966725969e-118	1.70989407836514
chr21	36028501	36028750	250	*	1	2.16918034235394e-115	1.37269464317539
chr21	25801501	25801750	250	*	1	1.93293273288973e-113	1.53309167892677
chr21	36141501	36141750	250	*	1	1.90322143941949e-112	1.44456077221526
chr21	45556001	45556250	250	*	1	1.1221498809445e-107	1.25131414405506
chr21	15483251	15483500	250	*	1	7.43048959844049e-107	1.30045607229267
chr21	43789251	43789500	250	*	1	6.14955813750084e-102	1.25536826893977
chr21	42450001	42450250	250	*	1	7.36564458469966e-101	1.14120801831306
chr21	38734001	38734250	250	*	1	5.61178126880286e-100	1.33127889874869
chr21	42309751	42310000	250	*	1	2.58065701115934e-97	1.25253000515553
chr21	33924001	33924250	250	*	1	4.91468628741932e-97	1.35145052701707
chr21	36977001	36977250	250	*	1	5.28120022660481e-97	1.27307960761011
chr21	43789501	43789750	250	*	1	8.6842132072897e-97	1.51132386446153
chr21	41283251	41283500	250	*	1	8.88181852542171e-97	1.4395222731418
chr21	42145501	42145750	250	*	1	2.92080028982481e-96	1.21988894710236
chr21	45292501	45292750	250	*	1	1.31012971394739e-95	1.20893741308782
chr21	25608251	25608500	250	*	1	1.7438814154645e-95	1.25738109916289
chr21	38356001	38356250	250	*	1	4.63727795378501e-95	1.53428642436431
chr21	44297751	44298000	250	*	1	1.33213830907376e-94	1.18060720632189
chr21	36420001	36420250	250	*	1	1.39183781463329e-94	1.32889563613075
chr21	42117501	42117750	250	*	1	3.77814409482562e-94	1.23263519731783
chr21	34745501	34745750	250	*	1	3.50839912969762e-93	1.42808353130097
chr21	37675251	37675500	250	*	1	2.76449341852706e-91	1.46760506709993
chr21	26170751	26171000	250	*	1	6.2285576504318e-91	1.67626089077216
chr21	44932751	44933000	250	*	1	1.53716735481738e-90	1.38064290954939
chr21	45555001	45555250	250	*	1	2.11496185766337e-90	1.49050070564236
chr21	45596751	45597000	250	*	1	9.14978945505897e-86	1.40396139859473
chr21	37010001	37010250	250	*	1	1.64271366299654e-85	1.30028414257971
chr21	43975501	43975750	250	*	1	1.85627492569849e-84	1.31137096740447
chr21	32258501	32258750	250	*	1	3.4789709882027e-84	1.86787173899757
chr21	29849751	29850000	250	*	1	7.32563384546996e-84	1.44258039736885
chr21	44949751	44950000	250	*	1	1.37326543992879e-83	1.30831570023311
chr21	45439501	45439750	250	*	1	1.37326543992879e-83	1.30831570023311
chr21	42164501	42164750	250	*	1	9.16236522447986e-82	1.30212016810781
chr21	33361251	33361500	250	*	1	5.09728432202689e-81	1.15510504291092
chr21	44892751	44893000	250	*	1	9.63504995302962e-79	1.3232139006006
chr21	44510501	44510750	250	*	1	2.32984129236651e-77	1.41903467332414
chr21	42593251	42593500	250	*	1	2.09055884347803e-76	1.44096985100817
chr21	45970751	45971000	250	*	1	2.09055884347803e-76	1.50055942685631
chr21	45128751	45129000	250	*	1	6.50214704874649e-75	1.13428188409175
chr21	14864751	14865000	250	*	1	3.28881241642307e-74	1.18791527971532
chr21	36927751	36928000	250	*	1	3.32801655367287e-74	1.30639892584629
chr21	34890001	34890250	250	*	1	1.18931036819742e-73	1.52485184775827
chr21	36422251	36422500	250	*	1	8.16505767785964e-72	1.26582819245229
chr21	34510501	34510750	250	*	1	9.08135309298415e-72	1.42268410881112
